Question,Query Type,Ground Truth,Document Source
What is ARVC?,Answerable,Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC) is an inherited heart disease that can cause deadly arrhythmias leading to sudden cardiac arrest.,All Aboard! Self-Compassion and Acceptance with Heart Failure
What are the challenges faced by caregivers of people with heart failure?,Answerable,"Caregivers play an invaluable part in supporting people living with heart failure. However, this role can be stressful and overwhelming, and it may be difficult for a caregiver to balance their needs with those of their loved one.",Caregiver Supports
What kind of help can I expect from the Ontario Caregiver Organization if I\'m feeling overburdened by my caregiving responsibilities?,Answerable,"The Ontario Caregiver Organization supports Ontario’s 4 million caregivers by providing access to the information they need to be successful in their role. Their website provides access to many resources, such as caregiver toolkits; webinar recordings covering caregiver well-being, skills and development, financial and legal tips, and advance care planning topics; e-Learning courses on caregiving 101 and partnering with health professionals; Podcasts; and other direct service programs like the 24/7 Helpline, peer support, and SCALE (a psychoeducation and counselling program).",Caregiver Supports
Are there any resources available in languages other than English to help me better support my loved one?,Answerable,"The Elizz CareChannel is an online portal with free resources for family and community caregivers to help them in their caregiving journeys. Developed by the Saint Elizabeth Foundation and funded by the Ontario Ministry of Health, Elizz provides free access to over 100 helpful videos plus other instructional content, supported in five different languages: English, French, Spanish, Mandarin, and Punjabi.",Caregiver Supports
How can I connect with other caregivers who understand what I\'m going through with my loved one's heart failure?,Answerable,"The HeartLife Foundation is a patient-driven charity whose mission is to transform the quality of life for people living with heart failure by engaging, educating, and empowering a global community to create lasting solutions and build healthier lives. Patients and caregivers are invited to join their Facebook support group.",Caregiver Supports
What are some ways I can cope with the emotional challenges of caregiving?,Answerable,"Writing has been shown to have emotional and physiological benefits to those dealing with life-threatening or chronic conditions, hardship, or trauma. Facilitated by Sharon Bray, Ed.D., author, educator and heart failure patient, Writing the Heart teach participants why and how writing can be healing, whether you write alone or with others.",Caregiver Supports
What is advance care planning?,Answerable,"Advance care planning is the process of thinking about and communicating your wishes, values, and beliefs. You consider what is important and makes your life meaningful and take steps to ensure that your wishes guide your treatment and care if you become incapable and/or unable to communicate these preferences in the future.",Advance Care Planning
Why is advance care planning important?,Answerable,There are several reasons people find it helpful to prepare themselves and their SDM through advance care planning: It decreases a lot of stress and worry by identifying your SDM(s) before a health crisis and allowing you to have control over who speaks for you. It helps you and your SDM(s) to be more aware and knowledgeable about any of your health conditions and what to expect in the future.,Advance Care Planning
How do I document my advance care plan?,Answerable,"After you’ve talked with your SDM(s), your loved ones, and even your health care team, you can record your wishes however you want – in writing, through a video or audio recording, or by simply telling your SDM. Your wishes are then acted upon by your SDM if they are required to make decisions.",Advance Care Planning
What are the responsibilities of a patient advocate?,Answerable,"The following are the responsibilities of a patient advocate: Assisting patients in obtaining health care, Educating patients and caregivers to help them make well-informed healthcare decisions, Handling patients’ medical care, insurance questions, and administrative and legal chores.",Advocating for Yourself
How can I advocate for myself as a patient?,Answerable,"Advocating for yourself as a patient, or for a loved one as a caregiver, means being informed and having a voice in all medical and emotional care. Develop the mindset of an advocate: Accept what is, do not be intimidated, be assertive, but polite, be confident, and know that your concerns, questions, and fears are legitimate and normal.",Advocating for Yourself
Why is it important to avoid alcohol?,Answerable,Avoiding alcohol is important when managing or decreasing your risk of cardiotoxicity. Alcohol is a toxin to the heart and can lead to heart failure,Living with Cardiotoxicity
What is the goal of a cardio-oncology program?,Answerable,The goal of a cardio-oncology program is to help prevent short- and long-term cardiac complications of cancer therapy.,Living with Cardiotoxicity
When should I ask for an interpreter during my medical appointments?,Answerable,"At UHN an interpreter must be used when: you give consent to treatment, the care provider is taking your medical history, receiving a diagnosis or prognosis, you are having a discussion about your care, you request one.",Appointment Tips for Non-English Speaking Patients
Are there any costs associated with using an interpreter at UHN?,Answerable,"Interpreters are available in person, through phone or through video, at no cost to you.",Appointment Tips for Non-English Speaking Patients
How can cancer treatment affect heart function?,Answerable,"Some cancer survivors may experience a greater risk of developing heart problems as a result of their cancer treatment. This is called cancer therapy-related cardiac dysfunction, or cardiotoxicity.",Cancer and Heart Failure
What are the risks of heart problems from cancer therapies?,Answerable,Medications and cancer therapies may have short and long-term effects on the heart. Some cancer survivors are at risk of developing heart problems as a result of their cancer treatment.,Cancer Therapies and the Heart
How can chemotherapy affect my heart?,Answerable,"Chemotherapy drugs can have an impact on your heart. Anthracyclines are one class of chemotherapy medications that can damage the cell structures and DNA inside the heart muscle, leading to decreased heart function.",Cancer Therapies and the Heart / Chemotherapy
What support can caregivers expect when managing someone with heart failure?,Answerable,"As a caregiver for someone living with heart failure, you may find yourself assisting or supporting the lifestyle modifications involved in condition management. Medical coordination, personal care, and treatment decision making are all examples of common caregiver duties.",Caring for Someone with Heart Failure
What support does the Medly program offer to heart failure patients?,Answerable,"Medly encourages you to take control of your heart health by providing self-care guidance and access to your care team right from home. Monitor your heart failure, receive personalized support, and be in direct contact with your care team when you need it the most.",Caring for Someone with Heart Failure
How can eliminating alcohol improve heart function in heart failure patients?,Answerable,"In some cases, excessive alcohol consumption may be the cause of heart failure, and abstinence from alcohol may result in normalization of the heart’s function.",Clinics and Referrals
What should I do if I am experiencing mental health struggles due to heart failure?,Answerable,"Let your family physician or medical specialist (such as your cardiologist) know of your mental health struggles. Depending on your situation, you may be referred to a psychiatrist, psychologist, or social worker for help.",Finding Peace of Mind During a Tough Time
What are some methods to help manage mental health when dealing with heart failure?,Answerable,"Spend time reflecting on your feelings. Methods such as meditation, journaling, or prayer can be very helpful for facilitating self-reflection.",Finding Peace of Mind During a Tough Time
How should I monitor and manage fluid intake if I have heart failure?,Answerable,"Weigh yourself every morning the same way: Go to the washroom and empty your bladder, wear the same thing every morning, don’t eat before weighing yourself, use the same scale every day. Record your weight on a calendar to notice any changes.",Fluid Restriction
What should I do if I notice an increase in my water weight?,Answerable,"If you have gained more than two pounds (0.9 kg) in one day, or five pounds (2.2 kg) in one week, this may be a sign that you are retaining fluid. You may need to begin taking/take more diuretics and should contact your health care provider.",Fluid Restriction
What are some tips for controlling fluid intake in heart failure?,Answerable,"Plan ahead to spread out the fluid you drink over the day. Use a 1.5 or 2L bottle to keep track of the fluid you are drinking. Use small cups and sip slowly. If you are thirsty or have a dry mouth, try sucking on small amounts of hard candy or a lemon or lime wedge.",Fluid Restriction
What dietary changes can help relieve symptoms of heart failure?,Answerable,"Heart failure occurs when the heart is unable to pump efficiently and cannot supply enough oxygen to the body. Dietary changes can take some stress off the heart, prevent further complications and provide symptom relief.",Healthy Eating
What role do potassium levels play in managing heart failure?,Answerable,"Maintaining a normal potassium balance is important, as high or low potassium levels in your blood can affect your heartbeat.",Healthy Eating
What are some key dietary tips for someone with cardiovascular disease?,Answerable,"The key to preventing and managing cardiovascular disease is a healthy diet and lifestyle. Your food choices make a difference. Learn how to integrate foods that are low in saturated and trans-fat, high in fibre and low in sodium into your diet in appropriate portions.",Healthy Eating
What is a SDM?,Answerable,Substitute Decision Maker is the person a healthcare provider would talk to if you become too sick or unwell to make decisions for your health.,Glossary
What is the role of an electrophysiologist?,Answerable,Electrophysiologist is a physician specializing in the electrical activity of the heart and treating associated cardiac problems.,Glossary
